GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000033880	798.159113801495	1.32790001080812	0.106868056530109	12.3458674817863	5.12785300915856e-35	1.02100681265356e-30
ENSMUSG00000079017	87.4259147433904	1.20424536429974	0.121055677804704	9.67277201192783	3.93570529797163e-22	3.91819140939566e-18
ENSMUSG00000134786	203.149597712882	0.979399499055855	0.117328856856523	8.27584519307711	1.27547621050331e-16	8.4653356091105e-13
ENSMUSG00000115529	215.62157134096	-0.937371042048983	0.120435885008206	-7.82184897543482	5.20530366368733e-15	2.59107003119196e-11
ENSMUSG00000046718	190.582068390595	0.93345058203094	0.121000873466663	7.62212632855105	2.49530643344443e-14	9.9368092792624e-11
ENSMUSG00000040856	236.933846694109	0.927091578726561	0.121300996417023	7.54871553960248	4.39571769564102e-14	1.45871891729847e-10
ENSMUSG00000026879	3300.83252756603	-0.61949957519079	0.0828034438709952	-7.48347523422001	7.23825483344588e-14	1.87856253731729e-10
ENSMUSG00000005397	1283.5663276864	-0.665551423666279	0.0889579235988219	-7.47797181390729	7.54783802849596e-14	1.87856253731729e-10
ENSMUSG00000064215	858.557428036134	0.782230572374701	0.105497180860167	7.39120273838453	1.45506557412393e-13	3.21909007182018e-10
ENSMUSG00000033355	116.166122027089	0.903441598782483	0.121863449673917	7.30942193887671	2.68294060627803e-13	5.34200304116019e-10
ENSMUSG00000023064	199.338970076936	0.863774235165118	0.121519821660698	7.02713350317184	2.10819635638238e-12	3.81602705926632e-09
ENSMUSG00000052229	1117.04964369255	-0.712329056286908	0.104315134979879	-6.84153805560014	7.8347384720162e-12	1.29997898096929e-08
ENSMUSG00000006522	2893.20516677394	0.600321173308801	0.0904579017289226	6.62984145548393	3.36047614987181e-11	5.14695697077674e-08
ENSMUSG00000025498	136.183604708816	0.794814064400429	0.121434845087873	6.47860138917983	9.25767145507753e-11	1.31663925958606e-07
ENSMUSG00000056071	113.013701297305	0.786363063132512	0.120766954361948	6.41354581723237	1.42173359916992e-10	1.88720917953816e-07
ENSMUSG00000037625	6943.68703558866	-0.496708790398612	0.0789403917610897	-6.29442426530986	3.08542871054034e-10	3.65484059864562e-07
ENSMUSG00000076439	1083.32136716004	-0.631201345926168	0.100378087742208	-6.2926705984164	3.120500737129e-10	3.65484059864562e-07
ENSMUSG00000002100	1561.08121027212	-0.582994335971624	0.0933548112444831	-6.24732306919683	4.17546840519426e-10	4.61876396754572e-07
ENSMUSG00000038173	761.923187309852	-0.607948942135206	0.0986134199777011	-6.16254873749334	7.1583288256492e-10	7.12647426237506e-07
ENSMUSG00000000204	24.6131674465181	0.592766995371816	0.0945274647368068	6.1692688238085	6.86065013510693e-10	7.12647426237506e-07
ENSMUSG00000026822	81.8913121941713	0.734887551743983	0.118317209874048	6.09800710134626	1.07398976705768e-09	1.01829572628026e-06
ENSMUSG00000022899	670.537517577831	-0.697080690563464	0.115818893963975	-6.05894713709147	1.37015408792135e-09	1.24005172930009e-06
ENSMUSG00000032854	4842.25969853754	-0.539339022876614	0.0894611317409696	-6.03398800072683	1.5996194767409e-09	1.38478362614731e-06
ENSMUSG00000056054	89.805271770133	0.727743793573443	0.119306921337649	6.0024517870247	1.94359984974309e-09	1.61245902534311e-06
