GeneID	SRR5364316	SRR5364317	SRR5364318	SRR5364322	SRR5364323
ENSMUSG00000100764	7.73725884744219	7.85638436593695	7.70481866342289	7.83161598967638	7.71556781234128
ENSMUSG00000100635	7.90356457857913	7.88291809411509	7.80427484165748	7.89400735270482	7.89717168383949
ENSMUSG00000100480	7.91510133317953	7.81355887592029	7.85941531078256	7.84259830253205	8.00173119989005
ENSMUSG00000103540	8.21534107430096	8.11307198301967	8.0252894524073	8.08302842858267	8.38260243355934
ENSMUSG00000102788	7.71982449121923	7.73095131281931	7.64188355290486	7.59123327275714	7.65781901103636
ENSMUSG00000102160	7.68207038884421	7.73095131281931	7.61744732436043	7.59123327275714	7.63584415211968
ENSMUSG00000100701	7.52160841759249	7.36064826126909	7.52319076434514	7.46385679962843	7.6119298807632
ENSMUSG00000078184	7.8796855928461	8.02918754409696	7.90884435441035	7.84259830253205	7.93066811409234
ENSMUSG00000104363	7.58816254673643	7.64779758725119	7.52319076434514	7.56693358300011	7.36064826126909
ENSMUSG00000103277	7.58816254673643	7.59523338728799	7.47561354508616	7.46385679962843	7.6119298807632
ENSMUSG00000104157	8.28385327787023	8.35117846839978	8.41573322625507	8.27981539955578	8.37687881498572
ENSMUSG00000070695	9.7841905104517	9.73898720272176	10.1058733064476	9.73685089962124	9.70419672082548
ENSMUSG00000061024	9.28117267486001	9.21592325010505	9.19881324753233	9.33386360889924	9.35854403792065
ENSMUSG00000102030	7.61495127834396	7.64779758725119	7.74094386881821	7.61318788173269	7.71556781234128
ENSMUSG00000081441	7.58816254673643	7.52661625743024	7.61744732436043	7.56693358300011	7.63584415211968
ENSMUSG00000103634	7.73725884744219	7.76607400592193	7.64188355290486	7.56693358300011	7.65781901103636
ENSMUSG00000104154	9.76143461664429	9.76169836337314	9.65818190796355	9.63558381128579	9.61684605404008
ENSMUSG00000102211	7.47449377871615	7.47803769504708	7.55966881759428	7.53933458102982	7.69743896621862
ENSMUSG00000091844	7.94828964264224	7.96633199684548	7.87224000553889	7.84259830253205	7.87356786982825
ENSMUSG00000100534	7.61495127834396	7.47803769504708	7.72334074069935	7.53933458102982	7.65781901103636
ENSMUSG00000104391	8.35310648113627	8.43702334523738	8.14757036017505	8.16938452878724	8.19114606955179
